"version","runs","median_elapsed_seconds","mean_elapsed_seconds","sd_elapsed_seconds","min_elapsed_seconds","max_elapsed_seconds","sample_matrix_mib","cold_chain_mean","cold_chain_sd"
"baseline",5,10.429,10.4602,0.146607298590485,10.302,10.625,5.34078216552734,25.3935774135138,9.68391509242754
"stage1",5,6.939,6.9286,0.164325287159343,6.749,7.123,5.34078216552734,25.3935774135138,9.68391509242754
"stage2",5,5.88000000000001,5.852,0.0409939019855413,5.8,5.884,5.34078216552734,25.3935774135138,9.68391509242754
