seed,model,model_class,teacher,inducing_grid,diagnostic_status,selected_budget,posterior_mean_mse_vs_full_gp,ell_w1_vs_full_gp,coverage_90,total_runtime
4,Full GP,full_gp,exact,64,PASS,initial,0.0,0.0,0.96875,31155.13481325699
4,Exact DeepRV,deeprv,exact,64,PASS,initial,0.01473504783630371,1.0620686321258543,0.9658203125,3422.174560053001
4,DeepRV Bilinear 8,deeprv,bilinear,8,PASS,initial,0.7460831963348388,16.22330542778969,0.923828125,2191.3615226459992
4,DeepRV Cubic 8,deeprv,cubic,8,PASS,extended,0.7060832133026123,17.547553017020228,0.92138671875,3154.375009869997
4,DeepRV DTC 8,deeprv,dtc,8,PASS,extended,0.7600639187316895,15.88130272626877,0.9189453125,3152.6123152340033
4,DeepRV FITC 8,deeprv,fitc,8,PASS,extended,0.48707051676940916,11.045985243320464,0.9609375,5273.279620579999
4,DeepRV Bilinear 16,deeprv,bilinear,16,PASS,extended,0.2465965973815918,11.530987776517867,0.94384765625,3594.927829299
4,DeepRV Cubic 16,deeprv,cubic,16,PASS,extended,0.20737358511352538,2.605177768230438,0.9482421875,3672.3858791309995
4,DeepRV DTC 16,deeprv,dtc,16,PASS,initial,0.2275434082946777,11.360916260957719,0.94580078125,2380.4324072309973
4,DeepRV FITC 16,deeprv,fitc,16,PASS,initial,0.13006712786865235,0.7741121315956115,0.97216796875,3550.6378133570033
4,DeepRV Bilinear 32,deeprv,bilinear,32,PASS,initial,0.05622839918518067,8.374559414386749,0.95654296875,2709.462531291996
4,DeepRV Cubic 32,deeprv,cubic,32,PASS,initial,0.04969740618896486,2.8861919732093813,0.9599609375,2949.9591496780013
4,DeepRV DTC 32,deeprv,dtc,32,PASS,initial,0.0476289434967041,5.943069228410722,0.95556640625,2996.2545825849993
4,DeepRV FITC 32,deeprv,fitc,32,PASS,initial,0.019031625503540036,0.31310942745208764,0.96826171875,3946.389791845995
4,Direct Bilinear 8,direct_gp,kissgp_ski_bilinear,8,PASS,initial,0.7427725015869141,10.323603335261346,0.921875,265.3117763600021
4,Direct Cubic 8,direct_gp,kissgp_ski_cubic,8,PASS,extended,0.7132739105644226,3.433363954305649,0.916015625,522.2361094589942
4,Direct DTC 8,direct_gp,dtc_sor,8,PASS,initial,0.7546912897796632,11.788950622558593,0.921875,266.7294516260008
4,Direct FITC 8,direct_gp,fitc,8,PASS,initial,0.47944307864379887,11.476775506973269,0.96240234375,598.8484753759913
4,Direct Bilinear 16,direct_gp,kissgp_ski_bilinear,16,PASS,initial,0.24615333882141113,11.25775228691101,0.9423828125,429.94092690599064
4,Direct Cubic 16,direct_gp,kissgp_ski_cubic,16,PASS,initial,0.20820140316772462,2.7818515782356266,0.9462890625,625.7893913009902
4,Direct DTC 16,direct_gp,dtc_sor,16,PASS,initial,0.23120888818359375,11.681862552642823,0.94482421875,479.9055761299969
4,Direct FITC 16,direct_gp,fitc,16,PASS,initial,0.12532956294250486,1.6214212708473204,0.9697265625,1177.1430511179933
4,Direct Bilinear 32,direct_gp,kissgp_ski_bilinear,32,PASS,initial,0.05571616648864747,7.404758610010147,0.9560546875,1571.9470826239994
4,Direct Cubic 32,direct_gp,kissgp_ski_cubic,32,PASS,initial,0.04896497187805176,2.2560192661285403,0.9599609375,2435.8508646990012
4,Direct DTC 32,direct_gp,dtc_sor,32,PASS,initial,0.04784080140686035,6.249397652387619,0.9560546875,2617.7762063269984
4,Direct FITC 32,direct_gp,fitc,32,PASS,initial,0.012183799850463866,0.2439741439819336,0.96728515625,6387.746125544996
